LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,run3DEM
"0","166",0.0563262981,541.6251789100,-73.5849314620,-50.6771165800,435.3867187500,435.3867187500
"0","167",0.0566292197,544.5304523600,-73.5852091620,-50.6769955670,432.4814453100,432.4814453100
"0","168",0.0569321412,545.8917805200,-73.5854868620,-50.6768745540,431.1201171900,431.1201171900
"0","169",0.0572350628,549.3702961600,-73.5857645620,-50.6767535410,427.6416015600,427.6416015600
"0","170",0.0575379843,550.2492024600,-73.5860422620,-50.6766325280,426.7626953100,426.7626953100
"0","171",0.0578409059,552.3048665500,-73.5863199620,-50.6765115150,424.7070312500,424.7070312500
"0","172",0.0581438274,556.8156087400,-73.5865976620,-50.6763905020,420.1962890600,420.1962890600
"0","173",0.0584467490,557.9034994100,-73.5868753620,-50.6762694890,419.1083984400,419.1083984400
"0","174",0.0587496705,563.5822103600,-73.5871530620,-50.6761484750,413.4296875000,413.4296875000
"0","175",0.0590525921,565.0831869500,-73.5874307620,-50.6760274620,411.9287109400,411.9287109400
"0","176",0.0593555136,570.6261557100,-73.5877084620,-50.6759064490,406.3857421900,406.3857421900
"0","177",0.0595491053,573.6066244600,-73.5878859350,-50.6758291120,403.4052734400,403.4052734400
"0","178",0.0598288378,576.3839682300,-73.5881636350,-50.6757954530,400.6279296900,400.6279296900
"0","179",0.0601085702,579.0177573100,-73.5884413350,-50.6757617940,397.9941406200,397.9941406200
"0","180",0.0603883026,582.0197104400,-73.5887190350,-50.6757281340,394.9921875000,394.9921875000
"0","181",0.0606680350,585.2872885800,-73.5889967350,-50.6756944750,391.7246093800,391.7246093800
"0","182",0.0609477674,591.2452964000,-73.5892744350,-50.6756608160,385.7666015600,385.7666015600
"0","183",0.0612274999,594.0138511000,-73.5895521350,-50.6756271570,382.9980468800,382.9980468800
"0","184",0.0615072323,597.2140464300,-73.5898298350,-50.6755934980,379.7978515600,379.7978515600
"0","185",0.0617869647,600.4269370600,-73.5901075350,-50.6755598390,376.5849609400,376.5849609400
"0","186",0.0620666971,604.5216636300,-73.5903852350,-50.6755261800,372.4902343800,372.4902343800
"0","187",0.0623464296,608.6271323900,-73.5906629350,-50.6754925200,368.3847656200,368.3847656200
"0","188",0.0626261620,613.2296714700,-73.5909406350,-50.6754588610,363.7822265600,363.7822265600
"0","189",0.0629058944,616.3771324200,-73.5912183350,-50.6754252020,360.6347656200,360.6347656200
"0","190",0.0631856268,620.4845543000,-73.5914960350,-50.6753915430,356.5273437500,356.5273437500
"0","191",0.0634653592,627.7784996200,-73.5917737350,-50.6753578840,349.2333984400,349.2333984400
"0","192",0.0637450917,632.3693199400,-73.5920514350,-50.6753242250,344.6425781200,344.6425781200
"0","193",0.0640248241,636.8253746400,-73.5923291350,-50.6752905660,340.1865234400,340.1865234400
"0","194",0.0643045565,641.6847496400,-73.5926068350,-50.6752569060,335.3271484400,335.3271484400
"0","195",0.0645842889,646.7706871500,-73.5928845350,-50.6752232470,330.2412109400,330.2412109400
"0","196",0.0648640213,651.9493981000,-73.5931622350,-50.6751895880,325.0625000000,325.0625000000
